iter	Passed	Remaining
0	151	151208
1	154	77136
2	157	52278
3	159	39823
4	162	32338
5	165	27343
6	167	23791
7	169	21074
8	171	18919
9	173	17207
10	175	15787
11	177	14598
12	179	13598
13	181	12774
14	183	12034
15	185	11384
16	186	10810
17	188	10296
18	190	9838
19	192	9431
20	194	9055
21	196	8732
22	198	8427
23	199	8112
24	201	7853
25	203	7608
26	204	7381
27	206	7172
28	208	6972
29	209	6788
30	212	6628
31	213	6470
32	214	6299
33	216	6155
34	218	6022
35	220	5896
36	221	5776
37	223	5662
38	225	5554
39	227	5449
40	228	5350
41	230	5257
42	232	5169
43	234	5084
44	235	5001
45	237	4926
46	239	4852
47	241	4781
48	242	4713
49	244	4646
50	246	4583
51	248	4522
52	249	4462
53	251	4407
54	253	4351
55	254	4297
56	256	4247
57	258	4197
58	260	4149
59	261	4102
60	263	4057
61	265	4014
62	267	3971
63	268	3930
64	270	3890
65	272	3852
66	274	3815
67	275	3778
68	277	3742
69	279	3708
70	280	3675
71	282	3642
72	284	3610
73	286	3579
74	288	3553
75	289	3523
76	291	3494
77	293	3466
78	294	3439
79	296	3411
80	298	3386
81	300	3361
82	302	3339
83	303	3314
84	305	3290
85	307	3266
86	309	3243
87	310	3220
88	312	3197
89	314	3175
90	315	3154
91	317	3134
92	319	3113
93	321	3094
94	322	3074
95	324	3055
96	326	3037
97	328	3018
98	329	3000
99	331	2983
100	333	2965
101	334	2948
102	336	2930
103	338	2913
104	339	2897
105	341	2881
106	343	2865
107	345	2849
108	346	2833
109	348	2820
110	350	2805
111	352	2790
112	353	2776
113	355	2762
114	357	2748
115	358	2734
116	360	2720
117	362	2706
118	363	2693
119	365	2680
120	367	2667
121	368	2655
122	370	2642
123	372	2630
124	374	2619
125	376	2608
126	377	2597
127	379	2587
128	381	2578
129	383	2567
130	385	2558
131	387	2548
132	389	2538
133	391	2528
134	393	2518
135	395	2509
136	396	2499
137	398	2490
138	400	2481
139	402	2471
140	404	2462
141	406	2453
142	407	2444
143	409	2436
144	411	2427
145	414	2422
146	416	2417
147	418	2411
148	420	2404
149	422	2396
150	424	2389
151	426	2382
152	428	2373
153	430	2365
154	432	2358
155	434	2350
156	436	2342
157	438	2334
158	439	2326
159	441	2319
160	443	2311
161	445	2303
162	447	2295
163	448	2287
164	450	2279
165	452	2271
166	453	2263
167	455	2256
168	457	2248
169	459	2241
170	460	2233
171	462	2226
172	464	2219
173	465	2212
174	467	2204
175	469	2197
176	471	2191
177	472	2184
178	474	2177
179	476	2170
180	478	2164
181	480	2158
182	481	2151
183	483	2144
184	485	2137
185	486	2131
186	488	2124
187	490	2117
188	492	2111
189	493	2105
190	495	2099
191	497	2093
192	499	2088
193	501	2082
194	503	2076
195	504	2071
196	506	2066
197	508	2059
198	510	2054
199	512	2048
200	513	2042
201	515	2036
202	517	2030
203	519	2025
204	520	2019
205	522	2013
206	524	2008
207	525	2002
208	527	1997
209	529	1991
210	531	1985
211	532	1980
212	534	1975
213	536	1970
214	538	1964
215	539	1959
216	541	1953
217	543	1948
218	544	1943
219	546	1938
220	548	1933
221	550	1928
222	552	1923
223	553	1918
224	555	1913
225	557	1908
226	558	1903
227	560	1899
228	562	1894
229	564	1889
230	565	1884
231	567	1879
232	569	1874
233	571	1869
234	572	1864
235	574	1859
236	576	1855
237	578	1851
238	579	1846
239	581	1842
240	583	1837
241	585	1833
242	586	1828
243	588	1823
244	590	1819
245	592	1815
246	593	1810
247	595	1805
248	597	1801
249	598	1796
250	600	1792
251	602	1787
252	603	1783
253	605	1778
254	607	1775
255	609	1771
256	611	1766
257	612	1762
258	614	1758
259	616	1754
260	618	1750
261	619	1746
262	621	1742
263	623	1737
264	625	1733
265	626	1729
266	628	1725
267	630	1721
268	631	1717
269	633	1712
270	635	1709
271	637	1705
272	638	1701
273	640	1696
274	642	1692
275	643	1689
276	645	1685
277	647	1681
278	649	1678
279	651	1674
280	652	1670
281	654	1666
282	656	1662
283	658	1659
284	659	1655
285	661	1652
286	663	1648
287	665	1644
288	666	1640
289	668	1636
290	670	1633
291	672	1629
292	673	1625
293	675	1621
294	677	1618
295	678	1614
296	680	1610
297	682	1607
298	684	1604
299	686	1600
300	687	1597
301	689	1593
302	691	1590
303	692	1586
304	694	1582
305	696	1579
306	698	1576
307	699	1572
308	701	1568
309	703	1565
310	704	1561
311	706	1558
312	708	1554
313	710	1551
314	711	1547
315	713	1544
316	715	1541
317	717	1537
318	718	1534
319	720	1531
320	722	1527
321	723	1524
322	725	1520
323	727	1517
324	729	1514
325	731	1511
326	732	1508
327	734	1505
328	736	1502
329	738	1499
330	740	1496
331	742	1493
332	744	1490
333	746	1487
334	747	1484
335	750	1482
336	751	1479
337	753	1476
338	755	1473
339	757	1469
340	759	1467
341	761	1464
342	763	1461
343	764	1458
344	766	1455
345	768	1452
346	769	1448
347	771	1445
348	773	1442
349	775	1440
350	777	1437
351	779	1434
352	780	1431
353	782	1428
354	784	1424
355	785	1421
356	787	1418
357	790	1417
358	792	1415
359	795	1413
360	797	1410
361	798	1407
362	800	1404
363	802	1402
364	804	1399
365	806	1397
366	808	1394
367	810	1391
368	812	1389
369	814	1386
370	815	1383
371	817	1380
372	820	1378
373	822	1375
374	823	1373
375	825	1370
376	827	1367
377	829	1364
378	831	1362
379	833	1359
380	835	1357
381	837	1354
382	839	1352
383	841	1349
384	843	1346
385	845	1344
386	847	1341
387	849	1339
388	851	1337
389	853	1334
390	855	1331
391	857	1329
392	858	1326
393	860	1323
394	862	1321
395	864	1318
396	866	1316
397	868	1313
398	870	1310
399	872	1308
400	874	1305
401	876	1303
402	877	1300
403	879	1297
404	881	1295
405	883	1292
406	885	1290
407	887	1288
408	889	1285
409	891	1283
410	893	1280
411	895	1277
412	897	1275
413	899	1272
414	900	1269
415	902	1266
416	904	1264
417	905	1261
418	907	1258
419	909	1255
420	911	1253
421	913	1250
422	914	1247
423	916	1245
424	918	1242
425	920	1239
426	921	1237
427	923	1234
428	925	1231
429	927	1228
430	928	1226
431	930	1223
432	932	1220
433	934	1218
434	935	1215
435	937	1212
436	939	1210
437	940	1207
438	942	1204
439	944	1202
440	946	1199
441	948	1197
442	949	1194
443	951	1191
444	953	1188
445	954	1186
446	956	1183
447	958	1181
448	960	1179
449	962	1176
450	964	1173
451	965	1170
452	967	1168
453	969	1165
454	970	1163
455	972	1160
456	974	1157
457	975	1154
458	977	1152
459	979	1149
460	981	1147
461	982	1144
462	984	1142
463	986	1139
464	988	1136
465	990	1134
466	992	1132
467	993	1129
468	995	1127
469	997	1124
470	998	1121
471	1000	1119
472	1002	1116
473	1004	1114
474	1005	1111
475	1007	1109
476	1009	1106
477	1010	1103
478	1012	1101
479	1014	1099
480	1016	1096
481	1017	1093
482	1019	1091
483	1021	1088
484	1023	1086
485	1024	1083
486	1026	1081
487	1028	1078
488	1030	1076
489	1031	1073
490	1033	1071
491	1035	1068
492	1036	1066
493	1038	1063
494	1040	1061
495	1042	1058
496	1043	1056
497	1045	1054
498	1047	1051
499	1048	1048
500	1050	1046
501	1052	1044
502	1054	1041
503	1056	1039
504	1058	1037
505	1059	1034
506	1061	1032
507	1063	1029
508	1065	1027
509	1066	1025
510	1068	1022
511	1070	1020
512	1071	1017
513	1073	1015
514	1075	1012
515	1077	1010
516	1078	1007
517	1080	1005
518	1082	1002
519	1083	1000
520	1085	998
521	1087	995
522	1089	993
523	1090	990
524	1092	988
525	1094	985
526	1095	983
527	1097	981
528	1099	978
529	1101	976
530	1102	974
531	1104	971
532	1106	969
533	1108	966
534	1109	964
535	1111	962
536	1113	959
537	1114	957
538	1116	954
539	1118	952
540	1120	950
541	1121	947
542	1123	945
543	1125	943
544	1127	940
545	1128	938
546	1130	936
547	1132	933
548	1133	931
549	1135	929
550	1137	926
551	1139	924
552	1141	922
553	1142	920
554	1144	917
555	1146	915
556	1148	913
557	1149	910
558	1151	908
559	1153	906
560	1154	903
561	1156	901
562	1158	899
563	1160	896
564	1162	894
565	1163	892
566	1165	890
567	1167	887
568	1168	885
569	1170	883
570	1172	880
571	1174	878
572	1176	876
573	1178	874
574	1180	872
575	1181	869
576	1183	867
577	1185	865
578	1186	862
579	1188	860
580	1190	858
581	1192	856
582	1193	853
583	1195	851
584	1197	849
585	1198	847
586	1200	844
587	1202	842
588	1204	840
589	1205	837
590	1207	835
591	1209	833
592	1211	831
593	1212	828
594	1214	826
595	1216	824
596	1218	822
597	1220	820
598	1222	818
599	1224	816
600	1225	813
601	1227	811
602	1229	809
603	1230	807
604	1232	804
605	1234	802
606	1236	800
607	1237	798
608	1239	795
609	1241	793
610	1242	791
611	1244	789
612	1246	786
613	1248	784
614	1250	782
615	1252	780
616	1253	778
617	1255	776
618	1257	773
619	1259	771
620	1260	769
621	1262	767
622	1264	765
623	1266	763
624	1268	761
625	1270	758
626	1272	756
627	1273	754
628	1275	752
629	1277	750
630	1279	748
631	1281	746
632	1283	743
633	1284	741
634	1286	739
635	1288	737
636	1290	735
637	1292	733
638	1293	730
639	1296	729
640	1297	726
641	1299	724
642	1301	722
643	1303	720
644	1305	718
645	1306	716
646	1308	713
647	1310	712
648	1312	710
649	1314	707
650	1316	705
651	1318	703
652	1320	701
653	1322	699
654	1323	697
655	1325	695
656	1327	693
657	1329	691
658	1331	688
659	1333	686
660	1335	684
661	1336	682
662	1338	680
663	1340	678
664	1341	676
665	1343	673
666	1345	671
667	1347	669
668	1348	667
669	1350	665
670	1352	663
671	1353	660
672	1355	658
673	1357	656
674	1359	654
675	1361	652
676	1362	650
677	1364	648
678	1366	646
679	1368	643
680	1369	641
681	1371	639
682	1373	637
683	1375	635
684	1376	633
685	1378	630
686	1380	628
687	1381	626
688	1383	624
689	1385	622
690	1387	620
691	1389	618
692	1391	616
693	1392	614
694	1394	612
695	1396	610
696	1398	607
697	1400	605
698	1401	603
699	1403	601
700	1405	599
701	1407	597
702	1409	595
703	1410	593
704	1412	591
705	1414	589
706	1416	587
707	1418	585
708	1420	582
709	1421	580
710	1423	578
711	1425	576
712	1427	574
713	1429	572
714	1430	570
715	1432	568
716	1434	566
717	1436	564
718	1437	561
719	1439	559
720	1441	557
721	1443	555
722	1445	553
723	1447	551
724	1448	549
725	1450	547
726	1452	545
727	1454	543
728	1455	541
